,latitude,longitude,squared_meters,bedrooms,bathrooms,suites,parking_spaces,estimated_price
307,-23.44614999999993,-46.65337999999997,58.0,2.0,1.0,0.0,1.0,381.63879933743306
308,-23.579859999999943,-46.737829999999974,116.0,3.0,2.0,1.0,2.0,971.3234853437277
309,-23.466239999999967,-46.72348999999997,131.0,4.0,3.0,0.0,2.0,1089.0866001050044
310,-23.536029999999986,-46.575439999999965,185.0,4.0,5.0,3.0,4.0,1827.2231421489446
311,-23.515299999999968,-46.69323999999993,119.0,3.0,4.0,3.0,3.0,1310.5451182507343
312,-23.56199999999995,-46.685969999999934,73.0,2.0,2.0,0.0,1.0,550.6121692097329
313,-23.557549999999928,-46.56735999999995,156.0,4.0,5.0,3.0,4.0,1662.5818839020476
314,-23.54056999999995,-46.67235999999997,139.0,3.0,2.0,1.0,2.0,1066.9727736694592
315,-23.544319999999967,-46.57705999999996,118.0,3.0,3.0,1.0,3.0,1131.0509654545015
316,-23.586699999999947,-46.67827999999997,130.0,3.0,2.0,0.0,2.0,998.1126229129427
317,-23.587469999999943,-46.568829999999934,280.0,4.0,4.0,2.0,4.0,2251.2154324646976
318,-23.589279999999967,-46.60372999999999,65.0,2.0,2.0,0.0,1.0,464.71499877694987
319,-23.536329999999968,-46.54036999999993,52.0,2.0,1.0,0.0,1.0,289.3035161587577
320,-23.496439999999946,-46.62925999999993,97.0,3.0,3.0,1.0,2.0,889.6537251225144
321,-23.575509999999948,-46.65025999999993,200.0,5.0,4.0,3.0,2.0,1549.9057563390234
322,-23.606639999999967,-46.661219999999965,212.0,4.0,5.0,2.0,3.0,1842.4432313819489
323,-23.542769999999962,-46.619999999999955,62.0,2.0,1.0,0.0,1.0,383.7608960571606
324,-23.571609999999968,-46.63329999999996,343.0,4.0,5.0,4.0,4.0,2746.386588279265
325,-23.535919999999976,-46.65774999999997,117.0,3.0,3.0,0.0,1.0,838.9078967759013
326,-23.555109999999964,-46.57600999999993,180.0,3.0,5.0,3.0,4.0,1814.5596619575904
327,-23.62035999999995,-46.67229999999995,450.0,4.0,4.0,2.0,3.0,3085.4935935692947
328,-23.58875999999998,-46.74200999999994,68.0,3.0,2.0,0.0,1.0,534.669786649107
329,-23.529219999999953,-46.696919999999984,300.0,3.0,4.0,3.0,3.0,2309.7719502933514
330,-23.477769999999968,-46.643279999999955,87.0,3.0,1.0,0.0,2.0,673.3337358977974
331,-23.566589999999962,-46.52209999999997,47.0,2.0,1.0,0.0,1.0,251.61391135681754
332,-23.535919999999976,-46.65774999999997,232.0,4.0,5.0,3.0,3.0,1974.0180514759054
333,-23.69672999999995,-46.644519999999936,65.0,2.0,1.0,0.0,1.0,407.1373064174045
334,-23.575509999999948,-46.65025999999993,67.0,2.0,2.0,1.0,1.0,519.9103059882855
335,-23.493079999999967,-46.61696999999998,200.0,3.0,3.0,0.0,2.0,1430.9402450916787
336,-23.463539999999966,-46.702359999999935,69.0,2.0,1.0,0.0,1.0,466.00676926279345
337,-23.509999999999927,-46.66603999999995,94.0,4.0,3.0,0.0,1.0,701.8406061530453
338,-23.570909999999966,-46.51481999999999,61.0,3.0,1.0,0.0,1.0,309.75143394807446
339,-23.566419999999933,-46.53939999999994,86.0,3.0,3.0,2.0,2.0,802.5327403949127
340,-23.529099999999968,-46.66207999999993,65.0,2.0,2.0,0.0,1.0,495.78300697887823
341,-23.493079999999967,-46.61696999999998,186.0,4.0,3.0,0.0,2.0,1338.4748463913672
342,-23.54056999999995,-46.67235999999997,497.0,3.0,4.0,3.0,5.0,3689.6881611451618
343,-23.477769999999968,-46.643279999999955,107.0,3.0,1.0,0.0,1.0,630.3892499890267
344,-23.51825999999994,-46.533369999999934,52.0,2.0,1.0,0.0,1.0,286.45377166424805
345,-23.56114732535841,-46.64688914580776,420.0,4.0,3.0,2.0,3.0,2835.423548811248
346,-23.529099999999968,-46.66207999999993,81.0,2.0,2.0,1.0,2.0,757.7828587293254
347,-23.54176999999993,-46.71172999999993,106.0,3.0,3.0,1.0,2.0,978.6592820579386
